,,,,,,,,,,,,,,,,,,,,,,,,,Semester: Spring 2023,
,,,,,,,,,,,DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING,,,,,,,,,,,,,,,
,,,,,,,,,,,,Class Routine for CSE Program (Day),,,,,,,,,,,,,Version 2.2,
,"Effective From: February 04, 2023",,,,,,,,,,,,,,,,,,,,,,,"Prepared by: Class Routine Committee, Dept. of CSE",,
,,,,,,,,,,,,,Saturday,,,,,,,,,,,,,
,08:30-09:30,,,09:30-10:30,,,10:30-11:30,,,11.30-12:30,,,12:30-01:30,,,01:30-02:30,,,02:30-03:30,,,03:30-04:30,,,04:30-05:30,
Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher
AB04-502,,,AB04-502,,,AB04-502,,,AB04-502,,,AB04-502,,,AB04-502,,,AB04-502,,,AB04-502,,,AB04-502,,
(ROBOTICS LAB),,,(ROBOTICS LAB),,,(ROBOTICS LAB),,,(ROBOTICS LAB),,,(ROBOTICS LAB),,,(ROBOTICS LAB),,,(ROBOTICS LAB),,,(ROBOTICS LAB),,,(ROBOTICS LAB),,
AB04-613,,,AB04-613,,,AB04-613,,,AB04-613,,,AB04-613,,,AB04-613,,,AB04-613,,,AB04-613,,,AB04-613,,
(DAFFODIL,,,(DAFFODIL,,,(DAFFODIL,,,(DAFFODIL,,,(DAFFODIL,,,(DAFFODIL,,,(DAFFODIL,,,(DAFFODIL,,,(DAFFODIL,,
ROBOTICS LAB),,,ROBOTICS LAB),,,ROBOTICS LAB),,,ROBOTICS LAB),,,ROBOTICS LAB),,,ROBOTICS LAB),,,ROBOTICS LAB),,,ROBOTICS LAB),,,ROBOTICS LAB),,
AB04-501(A),,,AB04-501(A),,,AB04-501(A),,,AB04-501(A),,,AB04-501(A),,,AB04-501(A),,,AB04-501(A),,,AB04-501(A),,,AB04-501(A),,
,CSE332(57_PC-A),SMTS,,CSE332(57_PC-A),SMTS,,CSE332(57_PC-A),SMTS,,CSE335(57_B),MJA,,CSE335(57_B),MJA,,CSE335(57_B),MJA,,CSE335(56_PC-C2),KMSI,,CSE335(56_PC-C2),KMSI,,CSE335(56_PC-C2),KMSI
(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,
AB04-501(B),,,AB04-501(B),,,AB04-501(B),,,AB04-501(B),,,AB04-501(B),,,AB04-501(B),,,AB04-501(B),,,AB04-501(B),,,AB04-501(B),,
,CSE314(58_A),NRC,,CSE314(58_A),NRC,,CSE314(58_A),NRC,,CSE114(64_K),FAF,,CSE114(64_K),FAF,,CSE114(64_K),FAF,,CSE335(56_PC-C1),ASN,,CSE335(56_PC-C1),ASN,,CSE335(56_PC-C1),ASN
(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,
AB04-503,,,AB04-503,,,AB04-503,,,AB04-503,,,AB04-503,,,AB04-503,,,AB04-503,,,AB04-503,,,AB04-503,,
,CSE324(58_PC-B),SL,,CSE324(58_PC-B),SL,,CSE324(58_PC-B),SL,,CSE422(55_D),NNM,,CSE422(55_D),NNM,,CSE422(55_D),NNM,,CSE232(59_PC-A),GR,,CSE232(59_PC-A),GR,,CSE232(59_PC-A),GR
