,,,,,,,,,,,,,,,,,,,,,,,,,Semester: Fall 2022,
,,,,,,,,,,,DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING,,,,,,,,,,,,,,,
,,,,,,,,,,,,Class Routine for CSE Program (Day),,,,,,,,,,,,,Version 3.6,
,"Effective From: September 18, 2022",,,,,,,,,,,,,,,,,,,,,,,"Prepared by: Class Routine Committee, Dept. of CSE",,
,,,,,,,,,,,,,Saturday,,,,,,,,,,,,,
,08:30-09:30,,,09:30-10:30,,,10:30-11:30,,,11.30-12:30,,,12:30-01:30,,,01:30-02:30,,,02:30-03:30,,,03:30-04:30,,,04:30-05:30,
Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher
AB04-502,,,AB04-502,,,AB04-502,,,AB04-502,,,AB04-502,,,AB04-502,,,AB04-502,,,AB04-502,,,AB04-502,,
,,,,CSE426(53-C),IJN,,CSE426(53-E),TI,,CSE426(53-F),TI,,CSE426(53-D),IJN,,,,,,,,,,,,
(ROBOTICS LAB),,,(ROBOTICS LAB),,,(ROBOTICS LAB),,,(ROBOTICS LAB),,,(ROBOTICS LAB),,,(ROBOTICS LAB),,,(ROBOTICS LAB),,,(ROBOTICS LAB),,,(ROBOTICS LAB),,
AB04-613,,,AB04-613,,,AB04-613,,,AB04-613,,,AB04-613,,,AB04-613,,,AB04-613,,,AB04-613,,,AB04-613,,
(DAFFODIL,OCCUPIED,,(DAFFODIL,OCCUPIED,,(DAFFODIL,OCCUPIED,,(DAFFODIL,OCCUPIED,,(DAFFODIL,OCCUPIED,,(DAFFODIL,OCCUPIED,,(DAFFODIL,OCCUPIED,,(DAFFODIL,OCCUPIED,,(DAFFODIL,OCCUPIED,
ROBOTICS LAB),,,ROBOTICS LAB),,,ROBOTICS LAB),,,ROBOTICS LAB),,,ROBOTICS LAB),,,ROBOTICS LAB),,,ROBOTICS LAB),,,ROBOTICS LAB),,,ROBOTICS LAB),,
AB04-503,,,AB04-503,,,AB04-503,,,AB04-503,,,AB04-503,,,AB04-503,,,AB04-503,,,AB04-503,,,AB04-503,,
,CSE215(PC-C),MAS,,CSE215(PC-C),MAS,,CSE215(PC-C),MAS,,CSE234(57-A),ZH,,CSE234(57-A),ZH,,CSE234(57-A),ZH,,CSE413(T2_PC-A),MHS,,CSE413(T2_PC-A),MHS,,CSE413(T2_PC-A),MHS
(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,
AB04-504,,,AB04-504,,,AB04-504,,,AB04-504,,,AB04-504,,,AB04-504,,,AB04-504,,,AB04-504,,,AB04-504,,
,CSE123(T3_P),MUM,,CSE123(T3_P),MUM,,,,,CSE322(PC-C),ATR,,CSE322(PC-C),ATR,,CSE322(PC-C),ATR,,CSE312(57-A),FKM,,CSE312(57-A),FKM,,CSE312(57-A),FKM
(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,
AB04-509,,,AB04-509,,,AB04-509,,,AB04-509,,,AB04-509,,,AB04-509,,,AB04-509,,,AB04-509,,,AB04-509,,
,CSE332(T1_PC-B),TH,,CSE332(T1_PC-B),TH,,CSE332(T1_PC-B),TH,,CSE422(54-B),NNM,,CSE422(54-B),NNM,,CSE422(54-B),NNM,,CSE413(54-C),TSP,,CSE413(54-C),TSP,,CSE413(54-C),TSP
(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,
AB04-513,,,AB04-513,,,AB04-513,,,AB04-513,,,AB04-513,,,AB04-513,,,AB04-513,,,AB04-513,,,AB04-513,,
,CSE123(T3_I),FNK,,CSE123(T3_I),FNK,,,,,CSE335(PC-R),CEM,,CSE335(PC-R),CEM,,CSE335(PC-R),CEM,,CSE123(T3_X),FI,,CSE123(T3_X),FI,,,
(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,
AB04-514,,,AB04-514,,,AB04-514,,,AB04-514,,,AB04-514,,,AB04-514,,,AB04-514,,,AB04-514,,,AB04-514,,
,CSE422(54-A),NNM,,CSE422(54-A),NNM,,CSE422(54-A),NNM,,CSE335(PC-E),MA,,CSE335(PC-E),MA,,CSE335(PC-E),MA,,CSE316(56-A),SCH,,CSE316(56-A),SCH,,CSE316(56-A),SCH
(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,
AB04-515,,,AB04-515,,,AB04-515,,,AB04-515,,,AB04-515,,,AB04-515,,,AB04-515,,,AB04-515,,,AB04-515,,
,CSE332(PC-K),ZZ,,CSE332(PC-K),ZZ,,CSE332(PC-K),ZZ,,CSE332(PC-D),MTT,,CSE332(PC-D),MTT,,CSE332(PC-D),MTT,,CSE123(T1_L),MT,,CSE123(T1_L),MT,,,
(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,
AB04-516,,,AB04-516,,,AB04-516,,,AB04-516,,,AB04-516,,,AB04-516,,,AB04-516,,,AB04-516,,,AB04-516,,
,CSE123(T1_K),FCH,,CSE123(T1_K),FCH,,,,,CSE335(PC-B),MJA,,CSE335(PC-B),MJA,,CSE335(PC-B),MJA,,CSE415(PC-A),ASH,,CSE415(PC-A),ASH,,CSE415(PC-A),ASH
(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,
AB04-517,,,AB04-517,,,AB04-517,,,AB04-517,,,AB04-517,,,AB04-517,,,AB04-517,,,AB04-517,,,AB04-517,,
,CSE422(OLD-A),AG,,CSE422(OLD-A),AG,,CSE422(OLD-A),AG,,Occupied for ACM Classes,,,Occupied for ACM Classes,,,Occupied for ACM Classes,,,Occupied for ACM Classes,,,Occupied for ACM Classes,,,Occupied for ACM Classes,
(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,
AB04-518,,,AB04-518,,,AB04-518,,,AB04-518,,,AB04-518,,,AB04-518,,,AB04-518,,,AB04-518,,,AB04-518,,
,CSE123(T3_L),GR,,CSE123(T3_L),GR,,,,,CSE413(53-E),SAK,,CSE413(53-E),SAK,,CSE413(53-E),SAK,,CSE322(PC-B),ZH,,CSE322(PC-B),ZH,,CSE322(PC-B),ZH
(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,
AB04-519,,,AB04-519,,,AB04-519,,,AB04-519,,,AB04-519,,,AB04-519,,,AB04-519,,,AB04-519,,,AB04-519,,
,CSE324(T3_PC-I),AD,,CSE324(T3_PC-I),AD,,CSE324(T3_PC-I),AD,,,,,CSE123(T1_J),ASN,,CSE123(T1_J),ASN,,CSE232(OLD-A),MRIS,,CSE232(OLD-A),MRIS,,CSE232(OLD-A),MRIS
(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,
AB04-520,,,AB04-520,,,AB04-520,,,AB04-520,,,AB04-520,,,AB04-520,,,AB04-520,,,AB04-520,,,AB04-520,,
,CSE123(T1_E),KD,,CSE123(T1_E),KD,,,,,CSE335(55-E),FHE,,CSE335(55-E),FHE,,CSE335(55-E),FHE,,CSE332(55-H),NH,,CSE332(55-H),NH,,CSE332(55-H),NH
(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,
AB04-811,,,AB04-811,,,AB04-811,,,AB04-811,CSE135(60-A) + CSE135,,AB04-811,CSE135(60-A) + CSE135,,AB04-811,CSE135(60-A) + CSE135,,AB04-811,,,AB04-811,,,AB04-811,,
,CSE415(54-E),FH,,CSE415(54-E),FH,,CSE415(54-E),FH,,,MZB,,,MZB,,,MZB,,CSE413(OLD-A),RAK,,CSE413(OLD-A),RAK,,CSE413(OLD-A),RAK
(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),(OLD-A),,(COM LAB),(OLD-A),,(COM LAB),(OLD-A),,(COM LAB),,,(COM LAB),,,(COM LAB),,
AB04-812,,,AB04-812,,,AB04-812,,,AB04-812,,,AB04-812,,,AB04-812,,,AB04-812,,,AB04-812,,,AB04-812,,
,CSE324(56-B_New),SL,,CSE324(56-B_New),SL,,CSE324(56-B_New),SL,,CSE232(57-B),FF,,CSE232(57-B),FF,,CSE232(57-B),FF,,,,,CSE123(G),IK,,CSE123(G),IK
(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,
AB04-813(A),,,AB04-813(A),,,AB04-813(A),,,AB04-813(A),,,AB04-813(A),,,AB04-813(A),,,AB04-813(A),,,AB04-813(A),,,AB04-813(A),,
,CSE222(PC-F),NIB,,CSE222(PC-F),NIB,,CSE222(PC-F),NIB,,CSE332(56-C),DMR,,CSE332(56-C),DMR,,CSE332(56-C),DMR,,CSE123(T1_N),MAL,,CSE123(T1_N),MAL,,,
(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,,(COM LAB),,
AB02-301,,,AB02-301,,,AB02-301,,,AB02-301,,,AB02-301,,,AB02-301,,,AB02-301,,,AB02-301,,,AB02-301,,
,Occupied,,,Occupied,,,Occupied,,,Occupied,,,PHY114(Q1),MS,,PHY114(Q1),MS,,PHY114(Q2),MS,,PHY114(Q2),MS,,,
(PHY LAB),,,(PHY LAB),,,(PHY LAB),,,(PHY LAB),,,(PHY LAB),,,(PHY LAB),,,(PHY LAB),,,(PHY LAB),,,(PHY LAB),,
AB02-302,,,AB02-302,,,AB02-302,PHY114(T2_J2) + PHY114,,AB02-302,PHY114(T2_J2) + PHY114,,AB02-302,,,AB02-302,,,AB02-302,,,AB02-302,,,AB02-302,,
,PHY114(I1),HA,,PHY114(I1),HA,,,ZK,,,ZK,,Occupied,,,Occupied,,,Occupied,,,Occupied,,,,
(PHY LAB),,,(PHY LAB),,,(PHY LAB),(RETAKE-1),,(PHY LAB),(RETAKE-1),,(PHY LAB),,,(PHY LAB),,,(PHY LAB),,,(PHY LAB),,,(PHY LAB),,
AB04-815,,,AB04-815,,,AB04-815,,,AB04-815,,,AB04-815,,,AB04-815,,,AB04-815,,,AB04-815,,,AB04-815,,
,PHY114(G1),KH,,PHY114(G1),KH,,PHY114(N1),HA,,PHY114(N1),HA,,PHY114(T2_I2),KH,,PHY114(T2_I2),KH,,PHY114(B2),MH,,PHY114(B2),MH,,,
(PHY LAB),,,(PHY LAB),,,(PHY LAB),,,(PHY LAB),,,(PHY LAB),,,(PHY LAB),,,(PHY LAB),,,(PHY LAB),,,(PHY LAB),,
AB04-816,,,AB04-816,,,AB04-816,,,AB04-816,,,AB04-816,,,AB04-816,,,AB04-816,,,AB04-816,,,AB04-816,,
,PHY114(F2),ZK,,PHY114(F2),ZK,,PHY114(G2),KH,,PHY114(G2),KH,,PHY114(T2_A2),MH,,PHY114(T2_A2),MH,,PHY114(J1),HA,,PHY114(J1),HA,,,
(PHY LAB),,,(PHY LAB),,,(PHY LAB),,,(PHY LAB),,,(PHY LAB),,,(PHY LAB),,,(PHY LAB),,,(PHY LAB),,,(PHY LAB),,
AB04-201,"CSE124(T3_N,T3_O)",FHA,AB04-201,CSE237(57-A_57-B),RI,AB04-201,CSE317(57-A_57-B),RI,AB04-201,"CSE237(PC-A,PC-B)",JH,AB04-201,"CSE216(PC-A, PC-B)",MUSA,AB04-201,"CSE226(T3_PC-A,T3_PC-B)",JH,AB04-201,"CSE216(PC-D, PC-E)",SAN,AB04-201,CSE 212(PC-A),SD,AB04-201,,
AB04-208,CSE498(53-C),MAV,AB04-208,CSE423(PC-A),AHS,AB04-208,CSE216(60-A),MI-C,AB04-208,CSE333(55-G),FKM,AB04-208,CSE423(T3_PC-C),AHS,AB04-208,PHY113(C),AKA,AB04-208,CSE112(E),MUM,AB04-208,GED121(T1_R),SA,AB04-208,CSE334(PC-D),SOMR
AB04-213,CSE498(52-F),FZA,AB04-213,CSE325(PC-C),MMO,AB04-213,CSE333(PC-A),MMO,AB04-213,CSE325(PC-A),MMO,AB04-213,CSE216(PC-F),SAN,AB04-213,CSE124(T3_P),FHA,AB04-213,MAT121(H),MR,AB04-213,,,AB04-213,Occupied for Evening Class,
AB04-216,CSE131(G),DMR,AB04-216,CSE317(T2_PC-A),FAFA,AB04-216,CSE412(53-F),SAK,AB04-216,CSE446(T2_PC-C),PDS,AB04-216,CSE336(PC-A),AFNH,AB04-216,CSE446(53-D),RHH,AB04-216,CSE498(53-D),TI,AB04-216,,,AB04-216,,
AB04-217,CSE231(PC-A),PDS,AB04-217,CSE426(T3_PC-F),TRN,AB04-217,CSE426(52-F),IJN,AB04-217,CSE216(PC-G),SAN,AB04-217,CSE112(D),SCH,AB04-217,GED121(T1_K),JFM,AB04-217,PHY113(T2_G),SB,AB04-217,CSE112(G),FCH,AB04-217,,
AB04-218,,,AB04-218,CSE446(PC-E),MSAD,AB04-218,CSE132(T),NAA,AB04-218,CSE235(58-A),MZI,AB04-218,,,AB04-218,PHY113(I),SB,AB04-218,MAT111(D),FAM,AB04-218,,,AB04-218,,
AB04-219,,,AB04-219,ENG123(A),SM,AB04-219,PHY113(A),AKA,AB04-219,CSE331(54-A),JAP,AB04-219,CSE331(PC-L),ZZ,AB04-219,GED121(T3_K),SA,AB04-219,CSE333(55-I),NIS,AB04-219,,,AB04-219,,
AB04-220,PHY113(J),AKA,AB04-220,"CSE124(T3_R,T3_S)",FHA,AB04-220,"CSE237(T1_PC-B, PC-C)",JH,AB04-220,"CSE124(T3_H,T3_I)",MUSA,AB04-220,"CSE336(PC-I,PC-H)",SJ,AB04-220,"CSE336(T1_PC-A,T1_PC-B)",SAN,AB04-220,CSE336(55-A_55-B),MI-C,AB04-220,,,AB04-220,"CSE317(PC-A,PC-B)",FAFA
AB04-221,ENG123(I),SAS,AB04-221,CSE336(PC-C),AFNH,AB04-221,CSE132(G),MMA,AB04-221,CSE423(T3_PC-B),DAA,AB04-221,CSE423(T3_PC-B),DAA,AB04-221,CSE132(H),MHIM,AB04-221,CSE498(52-D),FZA,AB04-221,,,AB04-221,CSE216(T2_PC-C),MUSA
AB04-222,GED131(Y),AI,AB04-222,,,AB04-222,CSE112(P),IMR,AB04-222,ENG123(B),SM,AB04-222,GED121(T1_O),SA,AB04-222,GED121(C),FHS,AB04-222,CSE115(F),ZZ,AB04-222,,,AB04-222,,
,CSE323(PC-A) +,,,,,,,,,,,,,,,,,,,,,,,,,
AB04-223,,NJR,AB04-223,CSE122(T3_G),MJA,AB04-223,CSE334(55-D_New),FHE,AB04-223,GED131(C),ACC,AB04-223,CSE122(G),IK,AB04-223,CSE226(PC-C),SHSU,AB04-223,CSE423(52-H),STA,AB04-223,ECO321(T3_PC-K),SYMR,AB04-223,,
,CSE323(OLD-A),,,,,,,,,,,,,,,,,,,,,,,,,
AB04-224,CSE131(S),SSS,AB04-224,GED121(T1_B),MFA,AB04-224,GED121(T1_E),SMR,AB04-224,CSE426(PC-B),MHI,AB04-224,CSE326(55-G),MKA,AB04-224,CSE223(PC-A),MAS,AB04-224,CSE426(PC-C),MHI,AB04-224,,,AB04-224,,
,,,,,,,,,,CSE323(PC-B) + CSE323,,,,,,,,,,,,,,,,
AB04-302,CSE122(T1_Q),ASN,AB04-302,CSE334(PC-H),MA,AB04-302,CSE336(PC-R),AFNH,AB04-302,,NJR,AB04-302,ENG123(C),SM,AB04-302,MAT111(G),FAM,AB04-302,CSE226(T3_PC-C),SHSU,AB04-302,MAT211(PC-C),BCD,AB04-302,,
,,,,,,,,,,(OLD-B),,,,,,,,,,,,,,,,
,,,,,,,PHY113(T2_I) + PHY113,,,,,,,,,,,,,,,,,,,
AB04-303,MAT111(O),ATD,AB04-303,CSE334(PC-R),CEM,AB04-303,(OLD-A) + PHY114,SB,AB04-303,GED121(T1_A),JFM,AB04-303,CSE498(52-H),FH,AB04-303,CSE423(T3_PC-E),AHS,AB04-303,MAT211(PC-A),BCD,AB04-303,,,AB04-303,,
,,,,,,,(DIPLOMA),,,,,,,,,,,,,,,,,,,
,,,,,,,CSE124(T3_Q) + CSE124,,,,,,,,,,,,,,,,,,,
AB04-304,GED121(T1_P),MBU,AB04-304,MAT111(P),ATD,AB04-304,,FHA,AB04-304,CSE122(T1_E),KD,AB04-304,CSE122(B),MAHN,AB04-304,CSE132(V),NAA,AB04-304,CSE216(PC-C),MUSA,AB04-304,,,AB04-304,,
,,,,,,,(OLD-A),,,,,,,,,,,,,,,,,,,
AB04-305,PHY113(M),MYA,AB04-305,PHY113(L),MYA,AB04-305,PHY113(K),MYA,AB04-305,CSE426(T3_PC-C),TRN,AB04-305,PHY113(B),AKA,AB04-305,CSE426(T3_PC-B),TRN,AB04-305,,,AB04-305,,,AB04-305,,
AB04-306,ENG113(R),MSAA,AB04-306,CSE132(C),MMA,AB04-306,CSE122(T1_O),MHHN,AB04-306,CSE423(52-G),STA,AB04-306,MAT111(E),FAM,AB04-306,GED121(T1_F),SMR,AB04-306,CSE411(PC-B),CAA,AB04-306,,,AB04-306,,
AB04-307,ENG113(A),SHY,AB04-307,MAT121(I),MR,AB04-307,CSE122(T1_M),MAL,AB04-307,CSE122(T1_R),AG,AB04-307,CSE423(PC-C),NIB,AB04-307,MAT111(R),ATD,AB04-307,CSE131(Q),SSS,AB04-307,,,AB04-307,,
AB04-318(A),CSE412(OLD-A),RAK,AB04-318(A),CSE122(T1_A),ACC,AB04-318(A),GED121(T1_J),MFA,AB04-318(A),CSE414(PC-B),ASH,AB04-318(A),CSE325(PC-B),ACC,AB04-318(A),CSE115(N),MIN,AB04-318(A),CSE131(F),MUH,AB04-318(A),,,AB04-318(A),,
,,,,PHY113(T2_F) + PHY113,,,,,,,,,,,,,,,,,,,,,,
AB04-318(B),MAT211(PC-D),BCD,AB04-318(B),,MRRM,AB04-318(B),MAT111(Q),ATD,AB04-318(B),ENG113(B),SHY,AB04-318(B),CSE122(T3_M),GR,AB04-318(B),CSE112(O),MHHN,AB04-318(B),ENG113(C),SHY,AB04-318(B),,,AB04-318(B),,
,,,,(RETAKE-1),,,,,,,,,,,,,,,,,,,,,,
,,,,GED121(J) + GED201,,,,,,,,,,,,,,,,,,,,,,
AB04-319,"CSE336(PC-E,PC-F)",SJ,AB04-319,(OLD-A) + GED111(OLD-,MAA,AB04-319,CSE122(T1_S),MAMR,AB04-319,CSE237(T1_PC-A),AFNH,AB04-319,CSE122(T1_K),FCH,AB04-319,CSE446(52-G),RHK,AB04-319,ENG113(K),SAL,AB04-319,CSE334(55-F),RHK,AB04-319,,
,,,,A),,,,,,,,,,,,,,,,,,,,,,
,,,,"CSE136(T1_PC-C, T1_PC-",,,,,,"CSE216(T2_PC-A,T2_PC-",,,,,,,,,,,,,,,"CSE136(T1_PC-E, T1_PC-",
AB04-320,"CSE336(PC-B,PC-D)",AFNH,AB04-320,,MMHS,AB04-320,"CSE226(PC-A,PC-B)",SHSU,AB04-320,,SHSU,AB04-320,CSE216(59-A_59-B),MI-C,AB04-320,"CSE136(T1_PC-A, T1_PC-B)",MMHS,AB04-320,,,AB04-320,CSE336(54-A_54-B),NMC,AB04-320,,MMHS
,,,,D),,,,,,B),,,,,,,,,,,,,,,F),
,CSE336(55-C_55-,,,,,,"CSE317(T2_PC-B, T2_PC-",,,,,,,,,,,,,,,,,,,
